scene,section,start_time,end_time,sentence,status,reason
411,"DİLENCİ, KÖPEK VE YAY",00:41:00.000,00:41:06.000,Odysseus yayı sayesinde sarayını geri almıştır.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
418,"DİLENCİ, KÖPEK VE YAY",00:41:42.000,00:41:48.000,Odysseus buna öfkeyle itiraz eder.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
420,"DİLENCİ, KÖPEK VE YAY",00:41:54.000,00:42:00.000,Odayı da bu sabit yatağın çevresine inşa etmiştir.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
421,"DİLENCİ, KÖPEK VE YAY",00:42:00.000,00:42:06.000,Yatağı yerinden çıkarmak ancak ağacı keserek mümkündür.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
424,"DİLENCİ, KÖPEK VE YAY",00:42:18.000,00:42:24.000,"Yirmi yıl sonra Odysseus yalnızca ülkesine değil, eşine ve kendi kimliğine de geri dönmüştür.",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
425,"DİLENCİ, KÖPEK VE YAY",00:42:24.000,00:42:30.000,"Bu, Odysseia’nın en meşhur tanıma sahnelerinden biridir.",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
426,"DİLENCİ, KÖPEK VE YAY",00:42:30.000,00:42:36.000,Fakat Nolan bunu da filmine almaz.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
429,"DİLENCİ, KÖPEK VE YAY",00:42:48.000,00:42:54.000,Şimdi hem Homeros hem de Nolan aynı soruyla karşı karşıyadır: Odysseus evine döndükten sonra bu şiddet döngüsü nasıl sona erecek?,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
432,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:43:06.000,00:43:12.000,Öldürülen taliplerin aileleri intikam almak için silahlanır.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
435,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:43:24.000,00:43:30.000,Nolan ise sonu değiştirir.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
438,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:43:42.000,00:43:48.000,Ama bu kez amacı yeni ülkeler fethetmek veya ün kazanmak değildir.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
448,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:44:42.000,00:44:48.000,Bu farkı gördüğümüzde Nolan’ın yol boyunca yaptığı diğer değişikliklerin de aynı amaca hizmet ettiği daha açık hâle geliyor.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
450,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:44:54.000,00:45:00.000,"Bu yüzden tanrılar geri plana çekilir, “Hiç Kimse” gibi bazı ünlü zekâ oyunları çıkarılır, Kirke ve Kalypso ilişkileri değiştirilir; Truva’nın yıkımı ise büyütülür.",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
451,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:45:00.000,00:45:06.000,"Film, yalnızca Odysseia’nın birebir uyarlaması değildir.",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
452,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:45:06.000,00:45:12.000,"İlyada, Aeneis ve sonraki mitolojik anlatıları birleştiren modern bir yorumdur.",DOSYA YOK,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor."
453,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:45:12.000,00:45:18.000,"Homeros, değişmiş olsa bile evine dönüp kimliğini geri alan bir adamı anlatır.",DOSYA YOK,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor."
454,HOMEROS’UN SONU VE NOLAN’IN YENİ SONU,00:45:18.000,00:45:24.000,Nolan ise büyük bir yıkıma neden olmuş bir insanın eski hayatına gerçekten dönüp dönemeyeceğini sorar.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
455,"KAHRAMAN MI, DÜZENBAZ MI?",00:45:24.000,00:45:30.000,Şimdi başlangıçtaki soruya dönebiliriz.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
460,"KAHRAMAN MI, DÜZENBAZ MI?",00:45:54.000,00:46:00.000,Ama bir şehrin yok edilmesini mümkün kıldı.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
465,"KAHRAMAN MI, DÜZENBAZ MI?",00:46:24.000,00:46:30.000,Yine de bütün felaketlerin sorumlusu yalnızca o değildi.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
467,"KAHRAMAN MI, DÜZENBAZ MI?",00:46:36.000,00:46:42.000,Odysseus hem başkalarının hatalarının sonuçlarını taşıyan hem de kendi kararlarıyla yeni felaketler yaratan bir liderdi.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
468,"KAHRAMAN MI, DÜZENBAZ MI?",00:46:42.000,00:46:48.000,"Christopher Nolan, Odysseus ile daha önce filmini yaptığı Robert Oppenheimer arasında bilinçli bir paralellik kuruyor.",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
471,"KAHRAMAN MI, DÜZENBAZ MI?",00:47:00.000,00:47:06.000,"Nolan’ın kurduğu soru şu: Bir şeyi yapabilecek kadar zeki olmamız, onu yapmamız gerektiği anlamına gelir mi?",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
475,"KAHRAMAN MI, DÜZENBAZ MI?",00:47:24.000,00:47:30.000,"Tam tersine, aynı özelliğinin hem en büyük gücü hem de en büyük felaketi olmasıdır.",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
482,"KAHRAMAN MI, DÜZENBAZ MI?",00:48:06.000,00:48:12.000,İkisinde de kullandığı araç aynıydı: Kendisini olduğundan başka bir şey gibi göstermek.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
