scene,section,start_sec,end_sec,start_time,end_time,duration_sec,sentence,image,review_status,reason,motion,transition
11,AÇILIŞ: ODYSSEUS KİMDİR?,83.12,94.96,01:23.120,01:34.960,11.84,"Fakat kazandığı savaş, on yıl daha sürecek acılı bir yolculuğun başlangıcı oldu.",Dramatischer Seefahrer im Sonnenuntergang.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
12,AÇILIŞ: ODYSSEUS KİMDİR?,94.96,108.27,01:34.960,01:48.270,13.31,Bu yolculukta bütün gemilerini ve yanında yola çıkan insanların tamamını kaybetti.,panel_07.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki deniz yolculuğunu doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
13,AÇILIŞ: ODYSSEUS KİMDİR?,108.27,115.33,01:48.270,01:55.330,7.06,"Tek gözlü bir devle, büyücülerle ve deniz canavarlarıyla karşılaştı.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
14,AÇILIŞ: ODYSSEUS KİMDİR?,115.33,118.71,01:55.330,01:58.710,3.38,Denizlerin tanrısını öfkelendirdi.,panel_06.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “AÇILIŞ: ODYSSEUS KİMDİR?” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_out,crossfade
15,AÇILIŞ: ODYSSEUS KİMDİR?,118.71,124.0,01:58.710,02:04.000,5.29,Yine de yaklaşık üç bin yıldır bir kahraman olarak anılıyor.,panel_01.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “AÇILIŞ: ODYSSEUS KİMDİR?” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_left,crossfade
16,AÇILIŞ: ODYSSEUS KİMDİR?,124.0,131.86,02:04.000,02:11.860,7.86,Peki Odysseus gerçekten büyük bir kahraman mıydı?,panel_01.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
17,AÇILIŞ: ODYSSEUS KİMDİR?,131.86,135.99,02:11.860,02:15.990,4.13,Yoksa kendi hatalarının sonuçlarından kurtulmaya çalışan son derece yetenekli bir düzenbaz mıydı?,Dramatischer Seefahrer im Sonnenuntergang.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
18,AÇILIŞ: ODYSSEUS KİMDİR?,135.99,140.11,02:15.990,02:20.110,4.12,Şimdi hikâyenin en başına gidelim.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
19,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,140.11,145.11,02:20.110,02:25.110,5.0,Her şey başladığında Odysseus hâlâ İthaka’da yaşıyordu.,scene_80.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, İthaka ve eve dönüş temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
20,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,145.11,147.63,02:25.110,02:27.630,2.52,Bir ada kralıydı.,panel_01.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “HİKÂYENİN EN BAŞI: TRUVA SAVAŞI” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_right,crossfade
21,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,147.63,156.14,02:27.630,02:36.140,8.51,Yanında eşi Penelope ve henüz bebek olan oğlu Telemakhos vardı.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
22,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,156.14,162.62,02:36.140,02:42.620,6.48,"Henüz deniz canavarlarıyla savaşmıyor, tanrıların öfkesiyle uğraşmıyordu.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
23,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,162.62,169.64,02:42.620,02:49.640,7.02,Fakat Ege Denizi’nin karşı tarafında büyük bir sorun çıkmak üzereydi.,scene_22.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
24,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,169.64,178.26,02:49.640,02:58.260,8.62,"Troya ile farklı Yunan krallıkları arasında, yıllarca sürecek bir savaş başlayacaktı.",scene_01.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
25,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,178.26,186.55,02:58.260,03:06.550,8.29,Bu savaşın anlatıldığı biçimiyle gerçekten yaşanıp yaşanmadığı ise hâlâ tartışmalıdır.,scene_05.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
26,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,186.55,197.22,03:06.550,03:17.220,10.67,"Bu, bugünkü Türkiye ile Yunanistan arasında yapılmış bir savaş değildi; o çağda bu iki modern devlet henüz yoktu.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
27,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,197.22,202.85,03:17.220,03:22.850,5.63,"Hikâyenin bir tarafında Troya şehri, Troyalılar ve onların müttefikleri vardı.",scene_06.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “HİKÂYENİN EN BAŞI: TRUVA SAVAŞI” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_left,crossfade
28,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,202.85,208.7,03:22.850,03:28.700,5.85,Diğer tarafında ise Ege dünyasındaki farklı küçük krallıklardan gelen savaşçılar bulunuyordu.,scene_01.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
29,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,208.7,212.89,03:28.700,03:32.890,4.19,Eski anlatılar bu savaşçılara çoğu zaman “Akhalar” der.,Epos am Lagerfeuer im Feldlager.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
30,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,212.89,222.41,03:32.890,03:42.410,9.52,"Yani bu videoda “Akhalar” dediğimizde, tek bir ülkenin ordusundan değil, aynı savaş için birleşen farklı Yunan krallarından ve askerlerinden söz ediyoruz.",Epos am Lagerfeuer im Feldlager.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
31,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,222.41,228.55,03:42.410,03:48.550,6.14,Peki bu kadar büyük bir savaş neden çıktı?,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
32,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,228.55,234.31,03:48.550,03:54.310,5.76,"Hikâye, Sparta sarayında ve Helen isimli bir kadınla başlar.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
33,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,234.31,238.4,03:54.310,03:58.400,4.09,"Helen, Sparta kralı Menelaos’un eşidir.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
34,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,238.4,244.6,03:58.400,04:04.600,6.2,Mitolojik anlatılarda dünyanın en güzel kadını olarak tanımlanır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
35,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,244.6,252.86,04:04.600,04:12.860,8.26,"Bir gün Troya kralının oğlu Paris, yani bir Troya prensi, Helen’i Troya’ya götürür.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
36,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,252.86,257.72,04:12.860,04:17.720,4.86,Ancak eski anlatılar bunun nasıl gerçekleştiği konusunda aynı şeyi söylemez.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
37,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,257.72,259.96,04:17.720,04:19.960,2.24,Bazılarına göre Paris Helen’i kaçırmıştır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
38,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,259.96,265.4,04:19.960,04:25.400,5.44,Bazılarına göre ise Helen onunla kendi isteğiyle gitmiştir.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
39,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,265.4,271.19,04:25.400,04:31.190,5.79,Menelaos için sonuç aynıdır: Eşi artık Troya’dadır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
40,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,271.19,280.34,04:31.190,04:40.340,9.15,Menelaos Helen’i geri almak için diğer Yunan krallarını yardıma çağırır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
41,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,280.34,286.51,04:40.340,04:46.510,6.17,Birleşen ordunun başına da kardeşi Agamemnon geçer.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
42,HİKÂYENİN EN BAŞI: TRUVA SAVAŞI,286.51,292.07,04:46.510,04:52.070,5.56,"Bu savaş çağrısı kısa süre sonra İthaka’ya, Odysseus’un kapısına kadar ulaşır.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
43,SAVAŞA GİTMEK İSTEMEYEN KRAL,292.07,295.84,04:52.070,04:55.840,3.77,Fakat Odysseus savaşa gitmek istemez.,panel_04.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
44,SAVAŞA GİTMEK İSTEMEYEN KRAL,295.84,303.31,04:55.840,05:03.310,7.47,"Çünkü giderse ülkesinden, eşi Penelope’den ve henüz bebek olan oğlu Telemakhos’tan belirsiz bir süre için ayrılacaktır.",panel_04.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Penelope’yi, Telemakhos’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
45,SAVAŞA GİTMEK İSTEMEYEN KRAL,303.31,311.53,05:03.310,05:11.530,8.22,Sonraki dönemlerde anlatılan bir efsaneye göre Odysseus savaştan kurtulabilmek için aklını kaybetmiş gibi davranır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
46,SAVAŞA GİTMEK İSTEMEYEN KRAL,311.53,319.85,05:11.530,05:19.850,8.32,Bir atla öküzü aynı sabana bağlar ve tarlasını anlamsız biçimde sürmeye başlar.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
47,SAVAŞA GİTMEK İSTEMEYEN KRAL,319.85,324.72,05:19.850,05:24.720,4.87,Bazı geç anlatımlara göre toprağa tohum yerine tuz eker.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
48,SAVAŞA GİTMEK İSTEMEYEN KRAL,324.72,330.05,05:24.720,05:30.050,5.33,"Onu savaşa çağırmak için gelen Palamedes isimli savaşçı, Odysseus’un numara yaptığından şüphelenir.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
49,SAVAŞA GİTMEK İSTEMEYEN KRAL,330.05,335.94,05:30.050,05:35.940,5.89,Bunu kanıtlamak için küçük Telemakhos’u sabanın ilerlediği yolun üzerine koyar.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
50,SAVAŞA GİTMEK İSTEMEYEN KRAL,335.94,340.38,05:35.940,05:40.380,4.44,Odysseus oğluna zarar vermemek için sabanı durdurur.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
51,SAVAŞA GİTMEK İSTEMEYEN KRAL,340.38,342.57,05:40.380,05:42.570,2.19,Böylece aklını kaybetmediği anlaşılır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
52,SAVAŞA GİTMEK İSTEMEYEN KRAL,342.57,348.9,05:42.570,05:48.900,6.33,Odysseus’un planı başarısız olur ve savaşa katılmak zorunda kalır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
53,SAVAŞA GİTMEK İSTEMEYEN KRAL,348.9,358.61,05:48.900,05:58.610,9.71,"Bu olay, Odysseus’un eve dönüşünü anlatan ana hikâyede ve Nolan’ın filminde yoktur; daha sonraki mitolojik anlatılardan gelir.",Old Homer Writing The Iliad.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
54,SAVAŞA GİTMEK İSTEMEYEN KRAL,358.61,363.46,05:58.610,06:03.460,4.85,Ama Odysseus’un nasıl bir insan olduğunu çok iyi gösterir.,Küstenwache im goldenen Abendlicht.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
55,SAVAŞA GİTMEK İSTEMEYEN KRAL,363.46,374.41,06:03.460,06:14.410,10.95,"O daha savaşa gitmeden önce bile sorunlarını güç kullanarak değil, plan yaparak ve karşısındakini yanıltarak çözmeye çalışmaktadır.",Antiker Gelehrter im Abendlicht.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
56,SAVAŞA GİTMEK İSTEMEYEN KRAL,374.41,378.75,06:14.410,06:18.750,4.34,Bu kez kurduğu plan onu kurtaramaz.,panel_04.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “SAVAŞA GİTMEK İSTEMEYEN KRAL” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_right,crossfade
57,SAVAŞA GİTMEK İSTEMEYEN KRAL,378.75,384.03,06:18.750,06:24.030,5.28,Fakat aynı kurnazlık yıllar sonra Truva Savaşı’nı bitirecektir.,panel_02.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Troya/Truva bağlamını, tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
58,ON YILLIK KUŞATMA,384.03,394.44,06:24.030,06:34.440,10.41,Farklı Yunan krallıklarından toplanan savaşçılar gemilerle Ege Denizi’ni geçer ve Troya’yı kuşatır.,panel_14.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, deniz yolculuğunu doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
59,ON YILLIK KUŞATMA,394.44,401.65,06:34.440,06:41.650,7.21,Eski anlatılara göre savaş tam on yıl sürer.,Epos am Lagerfeuer im Feldlager.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
60,ON YILLIK KUŞATMA,401.65,404.82,06:41.650,06:44.820,3.17,Akhaların en güçlü savaşçısı Akhilleus’tur.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
61,ON YILLIK KUŞATMA,404.82,409.684,06:44.820,06:49.684,4.864,Troyalıların en büyük savunucusu ise kralın oğlu Hektor’dur.,panel_15.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “ON YILLIK KUŞATMA” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_in,crossfade
62,ON YILLIK KUŞATMA,409.684,414.118,06:49.684,06:54.118,4.435,Hektor ile Helen’i Troya’ya getiren Paris kardeştir.,panel_15.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “ON YILLIK KUŞATMA” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_out,crossfade
63,ON YILLIK KUŞATMA,414.118,418.553,06:54.118,06:58.553,4.435,Truva Savaşı’nın en ünlü anlatılarından biri İlyada’dır.,Old Homer Writing The Iliad.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Troya/Truva bağlamını, tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
64,ON YILLIK KUŞATMA,418.553,427.711,06:58.553,07:07.711,9.157,"İlyada, yaklaşık 2.800 yıl önce yaşadığı düşünülen Antik Yunan şairi ve hikâye anlatıcısı Homeros’a atfedilen bir destandır.",Old Homer Writing The Iliad.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
